time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-09-09T00:00Z,230,248,310,319
2023-09-09T00:30Z,219,233,292,297
2023-09-09T01:00Z,217,222,294,301
2023-09-09T01:30Z,214,222,309,297
2023-09-09T02:00Z,211,212,279,273
2023-09-09T02:30Z,208,213,286,298
2023-09-09T03:00Z,208,214,327,318
2023-09-09T03:30Z,215,211,310,313
2023-09-09T04:00Z,215,209,301,294
2023-09-09T04:30Z,216,218,331,319
2023-09-09T05:00Z,213,216,299,315
2023-09-09T05:30Z,208,218,296,305
2023-09-09T06:00Z,203,211,262,273
2023-09-09T06:30Z,198,211,277,291
2023-09-09T07:00Z,191,210,276,274
2023-09-09T07:30Z,184,199,336,330
2023-09-09T08:00Z,177,191,311,326
2023-09-09T08:30Z,168,182,280,274
2023-09-09T09:00Z,158,169,322,326
2023-09-09T09:30Z,147,165,264,272
2023-09-09T10:00Z,138,156,286,295
2023-09-09T10:30Z,130,149,327,316
2023-09-09T11:00Z,126,139,301,316
2023-09-09T11:30Z,125,130,329,329
2023-09-09T12:00Z,125,128,302,309
2023-09-09T12:30Z,126,130,304,295
2023-09-09T13:00Z,132,129,337,330
2023-09-09T13:30Z,140,131,287,293
2023-09-09T14:00Z,148,137,325,322
2023-09-09T14:30Z,162,144,329,324
2023-09-09T15:00Z,181,162,287,293
2023-09-09T15:30Z,204,179,304,311
2023-09-09T16:00Z,219,195,298,310
2023-09-09T16:30Z,235,222,306,302
2023-09-09T17:00Z,246,230,300,309
2023-09-09T17:30Z,251,238,285,291
2023-09-09T18:00Z,254,253,268,281
2023-09-09T18:30Z,261,260,315,302
2023-09-09T19:00Z,263,263,313,302
2023-09-09T19:30Z,270,263,326,314
2023-09-09T20:00Z,271,262,286,283
2023-09-09T20:30Z,275,268,268,270
2023-09-09T21:00Z,267,271,270,271
2023-09-09T21:30Z,247,269,301,288
2023-09-09T22:00Z,236,262,323,310
2023-09-09T22:30Z,227,241,308,303
2023-09-09T23:00Z,227,239,310,302
2023-09-09T23:30Z,219,230,313,319
