time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-07-15T00:00Z,73,70,298,305
2023-07-15T00:30Z,74,71,269,280
2023-07-15T01:00Z,74,72,313,308
2023-07-15T01:30Z,74,72,303,307
2023-07-15T02:00Z,74,74,335,320
2023-07-15T02:30Z,76,74,287,279
2023-07-15T03:00Z,77,73,325,311
2023-07-15T03:30Z,76,75,280,272
2023-07-15T04:00Z,72,73,320,327
2023-07-15T04:30Z,65,74,271,277
2023-07-15T05:00Z,63,71,276,271
2023-07-15T05:30Z,62,67,284,289
2023-07-15T06:00Z,59,60,277,279
2023-07-15T06:30Z,58,60,303,311
2023-07-15T07:00Z,56,58,294,295
2023-07-15T07:30Z,59,59,306,316
2023-07-15T08:00Z,56,49,326,325
2023-07-15T08:30Z,50,53,335,322
2023-07-15T09:00Z,47,58,320,314
2023-07-15T09:30Z,54,49,264,274
2023-07-15T10:00Z,58,45,281,278
2023-07-15T10:30Z,54,50,284,282
2023-07-15T11:00Z,50,49,282,290
2023-07-15T11:30Z,53,54,315,310
2023-07-15T12:00Z,50,49,302,302
2023-07-15T12:30Z,48,50,292,289
2023-07-15T13:00Z,49,49,267,280
2023-07-15T13:30Z,44,48,322,325
2023-07-15T14:00Z,44,47,297,291
2023-07-15T14:30Z,39,41,279,291
2023-07-15T15:00Z,43,39,324,316
2023-07-15T15:30Z,43,40,297,313
2023-07-15T16:00Z,57,43,310,309
2023-07-15T16:30Z,61,46,325,312
2023-07-15T17:00Z,62,55,304,307
2023-07-15T17:30Z,62,59,294,282
2023-07-15T18:00Z,62,61,295,285
2023-07-15T18:30Z,64,60,302,303
2023-07-15T19:00Z,63,60,274,283
2023-07-15T19:30Z,68,60,343,328
2023-07-15T20:00Z,65,60,282,288
2023-07-15T20:30Z,64,60,291,287
2023-07-15T21:00Z,67,62,293,282
2023-07-15T21:30Z,68,62,299,312
2023-07-15T22:00Z,73,59,291,289
2023-07-15T22:30Z,88,63,292,291
2023-07-15T23:00Z,90,70,333,326
2023-07-15T23:30Z,94,78,331,318
