time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-01-28T00:00Z,242,247,320,310
2023-01-28T00:30Z,243,246,278,286
2023-01-28T01:00Z,243,249,312,310
2023-01-28T01:30Z,242,246,299,299
2023-01-28T02:00Z,240,246,293,297
2023-01-28T02:30Z,242,246,280,286
2023-01-28T03:00Z,241,248,309,315
2023-01-28T03:30Z,240,247,272,277
2023-01-28T04:00Z,242,250,286,296
2023-01-28T04:30Z,238,248,287,287
2023-01-28T05:00Z,241,252,298,311
2023-01-28T05:30Z,245,254,299,299
2023-01-28T06:00Z,250,258,322,310
2023-01-28T06:30Z,256,254,268,273
2023-01-28T07:00Z,269,261,300,294
2023-01-28T07:30Z,270,266,315,306
2023-01-28T08:00Z,270,269,278,270
2023-01-28T08:30Z,273,269,280,288
2023-01-28T09:00Z,262,267,272,283
2023-01-28T09:30Z,262,271,269,278
2023-01-28T10:00Z,255,265,287,285
2023-01-28T10:30Z,254,264,297,290
2023-01-28T11:00Z,255,257,274,270
2023-01-28T11:30Z,256,252,304,315
2023-01-28T12:00Z,256,260,288,281
2023-01-28T12:30Z,254,262,292,293
2023-01-28T13:00Z,255,263,319,312
2023-01-28T13:30Z,255,261,307,300
2023-01-28T14:00Z,263,258,318,320
2023-01-28T14:30Z,266,256,331,318
2023-01-28T15:00Z,268,263,275,274
2023-01-28T15:30Z,270,272,326,322
2023-01-28T16:00Z,266,271,276,273
2023-01-28T16:30Z,259,271,280,271
2023-01-28T17:00Z,251,274,329,325
2023-01-28T17:30Z,250,264,310,322
2023-01-28T18:00Z,252,257,291,305
2023-01-28T18:30Z,252,254,302,304
2023-01-28T19:00Z,262,256,306,313
2023-01-28T19:30Z,256,254,288,295
2023-01-28T20:00Z,265,264,264,277
2023-01-28T20:30Z,259,256,271,271
2023-01-28T21:00Z,256,255,283,289
2023-01-28T21:30Z,242,246,316,318
2023-01-28T22:00Z,223,250,293,307
2023-01-28T22:30Z,210,236,330,320
2023-01-28T23:00Z,176,219,311,325
2023-01-28T23:30Z,164,203,285,275
