time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-02-25T00:00Z,96,133,335,321
2023-02-25T00:30Z,104,111,301,307
2023-02-25T01:00Z,102,113,296,300
2023-02-25T01:30Z,100,107,306,298
2023-02-25T02:00Z,96,107,312,303
2023-02-25T02:30Z,93,107,323,318
2023-02-25T03:00Z,88,109,334,324
2023-02-25T03:30Z,90,97,304,297
2023-02-25T04:00Z,92,93,324,319
2023-02-25T04:30Z,91,91,309,309
2023-02-25T05:00Z,92,99,293,289
2023-02-25T05:30Z,96,94,296,299
2023-02-25T06:00Z,97,98,275,279
2023-02-25T06:30Z,105,93,270,274
2023-02-25T07:00Z,116,99,267,276
2023-02-25T07:30Z,119,112,314,324
2023-02-25T08:00Z,113,116,304,291
2023-02-25T08:30Z,116,115,312,313
2023-02-25T09:00Z,114,114,291,300
2023-02-25T09:30Z,117,123,269,280
2023-02-25T10:00Z,116,118,272,285
2023-02-25T10:30Z,110,116,306,296
2023-02-25T11:00Z,104,121,284,296
2023-02-25T11:30Z,104,110,309,301
2023-02-25T12:00Z,102,112,289,280
2023-02-25T12:30Z,103,104,303,292
2023-02-25T13:00Z,106,106,273,287
2023-02-25T13:30Z,107,105,290,295
2023-02-25T14:00Z,107,108,297,290
2023-02-25T14:30Z,110,112,294,306
2023-02-25T15:00Z,119,111,313,317
2023-02-25T15:30Z,130,116,298,309
2023-02-25T16:00Z,135,125,283,274
2023-02-25T16:30Z,144,147,283,276
2023-02-25T17:00Z,152,155,320,311
2023-02-25T17:30Z,155,161,277,287
2023-02-25T18:00Z,158,156,311,313
2023-02-25T18:30Z,158,153,306,309
2023-02-25T19:00Z,157,151,329,324
2023-02-25T19:30Z,158,151,313,322
2023-02-25T20:00Z,161,158,288,290
2023-02-25T20:30Z,164,149,298,305
2023-02-25T21:00Z,163,158,284,278
2023-02-25T21:30Z,156,164,289,291
2023-02-25T22:00Z,152,155,329,328
2023-02-25T22:30Z,147,151,306,312
2023-02-25T23:00Z,130,149,303,294
2023-02-25T23:30Z,125,149,305,306
