time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-11-04T00:00Z,129,108,260,271
2023-11-04T00:30Z,122,103,300,300
2023-11-04T01:00Z,127,108,278,292
2023-11-04T01:30Z,135,101,298,307
2023-11-04T02:00Z,149,110,321,310
2023-11-04T02:30Z,158,117,318,307
2023-11-04T03:00Z,156,121,298,299
2023-11-04T03:30Z,156,137,285,299
2023-11-04T04:00Z,151,141,258,270
2023-11-04T04:30Z,153,141,315,303
2023-11-04T05:00Z,149,140,281,271
2023-11-04T05:30Z,164,138,303,302
2023-11-04T06:00Z,166,138,272,286
2023-11-04T06:30Z,167,149,343,329
2023-11-04T07:00Z,157,152,265,271
2023-11-04T07:30Z,172,159,333,319
2023-11-04T08:00Z,179,146,312,310
2023-11-04T08:30Z,180,153,326,318
2023-11-04T09:00Z,176,160,331,325
2023-11-04T09:30Z,174,166,273,276
2023-11-04T10:00Z,175,161,264,276
2023-11-04T10:30Z,182,159,269,279
2023-11-04T11:00Z,175,155,274,282
2023-11-04T11:30Z,169,158,312,302
2023-11-04T12:00Z,159,165,315,319
2023-11-04T12:30Z,159,163,297,286
2023-11-04T13:00Z,160,143,289,294
2023-11-04T13:30Z,149,144,299,292
2023-11-04T14:00Z,143,169,283,294
2023-11-04T14:30Z,147,166,318,304
2023-11-04T15:00Z,159,154,336,329
2023-11-04T15:30Z,166,161,284,284
2023-11-04T16:00Z,177,169,325,311
2023-11-04T16:30Z,181,178,306,321
2023-11-04T17:00Z,175,178,307,309
2023-11-04T17:30Z,179,187,331,321
2023-11-04T18:00Z,194,176,310,316
2023-11-04T18:30Z,194,176,283,276
2023-11-04T19:00Z,192,191,306,293
2023-11-04T19:30Z,187,201,299,303
2023-11-04T20:00Z,190,197,280,273
2023-11-04T20:30Z,186,196,258,271
2023-11-04T21:00Z,183,200,273,280
2023-11-04T21:30Z,186,197,314,300
2023-11-04T22:00Z,180,197,295,296
2023-11-04T22:30Z,169,177,312,317
2023-11-04T23:00Z,169,181,317,304
2023-11-04T23:30Z,168,174,318,321
