time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-04-22T00:00Z,169,159,276,281
2023-04-22T00:30Z,161,168,302,317
2023-04-22T01:00Z,161,170,309,298
2023-04-22T01:30Z,161,163,307,312
2023-04-22T02:00Z,161,165,323,308
2023-04-22T02:30Z,165,159,311,319
2023-04-22T03:00Z,166,168,287,274
2023-04-22T03:30Z,162,168,331,317
2023-04-22T04:00Z,156,168,284,297
2023-04-22T04:30Z,153,165,291,288
2023-04-22T05:00Z,161,163,269,273
2023-04-22T05:30Z,162,186,290,282
2023-04-22T06:00Z,162,154,277,273
2023-04-22T06:30Z,163,168,340,326
2023-04-22T07:00Z,160,154,290,301
2023-04-22T07:30Z,156,162,332,329
2023-04-22T08:00Z,151,157,311,303
2023-04-22T08:30Z,145,158,271,285
2023-04-22T09:00Z,140,152,301,315
2023-04-22T09:30Z,135,144,288,281
2023-04-22T10:00Z,130,141,287,291
2023-04-22T10:30Z,125,137,313,317
2023-04-22T11:00Z,127,132,324,322
2023-04-22T11:30Z,125,122,293,290
2023-04-22T12:00Z,129,123,281,277
2023-04-22T12:30Z,133,127,305,292
2023-04-22T13:00Z,136,132,318,323
2023-04-22T13:30Z,144,136,323,315
2023-04-22T14:00Z,147,148,326,324
2023-04-22T14:30Z,158,152,293,293
2023-04-22T15:00Z,166,161,324,328
2023-04-22T15:30Z,169,163,304,300
2023-04-22T16:00Z,176,173,292,300
2023-04-22T16:30Z,177,174,312,325
2023-04-22T17:00Z,182,181,308,301
2023-04-22T17:30Z,188,183,317,318
2023-04-22T18:00Z,191,187,310,314
2023-04-22T18:30Z,192,196,276,275
2023-04-22T19:00Z,194,198,298,306
2023-04-22T19:30Z,200,195,311,319
2023-04-22T20:00Z,196,196,301,303
2023-04-22T20:30Z,192,200,303,289
2023-04-22T21:00Z,182,209,269,275
2023-04-22T21:30Z,144,184,322,310
2023-04-22T22:00Z,128,180,287,288
2023-04-22T22:30Z,118,148,294,306
2023-04-22T23:00Z,112,143,306,296
2023-04-22T23:30Z,108,133,309,311
