time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-10-07T00:00Z,61,59,290,295
2023-10-07T00:30Z,66,59,272,279
2023-10-07T01:00Z,67,61,293,293
2023-10-07T01:30Z,62,61,314,315
2023-10-07T02:00Z,63,62,286,298
2023-10-07T02:30Z,60,62,336,321
2023-10-07T03:00Z,58,64,287,288
2023-10-07T03:30Z,63,61,322,312
2023-10-07T04:00Z,68,61,331,318
2023-10-07T04:30Z,64,65,320,325
2023-10-07T05:00Z,66,68,301,304
2023-10-07T05:30Z,69,65,330,328
2023-10-07T06:00Z,74,66,294,303
2023-10-07T06:30Z,78,64,268,278
2023-10-07T07:00Z,74,66,278,285
2023-10-07T07:30Z,65,73,294,282
2023-10-07T08:00Z,66,68,311,309
2023-10-07T08:30Z,64,62,322,325
2023-10-07T09:00Z,60,64,309,321
2023-10-07T09:30Z,58,57,271,276
2023-10-07T10:00Z,57,60,309,313
2023-10-07T10:30Z,64,61,290,281
2023-10-07T11:00Z,64,55,285,286
2023-10-07T11:30Z,57,61,314,310
2023-10-07T12:00Z,57,67,311,306
2023-10-07T12:30Z,62,61,314,322
2023-10-07T13:00Z,63,57,290,281
2023-10-07T13:30Z,66,60,330,316
2023-10-07T14:00Z,80,60,317,313
2023-10-07T14:30Z,94,71,303,304
2023-10-07T15:00Z,107,96,289,299
2023-10-07T15:30Z,128,108,331,322
2023-10-07T16:00Z,138,120,280,290
2023-10-07T16:30Z,135,142,334,327
2023-10-07T17:00Z,143,155,270,271
2023-10-07T17:30Z,153,137,339,326
2023-10-07T18:00Z,156,137,329,328
2023-10-07T18:30Z,158,150,280,277
2023-10-07T19:00Z,157,155,315,330
2023-10-07T19:30Z,150,152,285,299
2023-10-07T20:00Z,146,158,294,285
2023-10-07T20:30Z,148,140,319,306
2023-10-07T21:00Z,146,137,286,282
2023-10-07T21:30Z,118,143,333,325
2023-10-07T22:00Z,104,130,300,303
2023-10-07T22:30Z,91,122,327,317
2023-10-07T23:00Z,92,117,285,293
2023-10-07T23:30Z,87,90,308,302
