time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-12-02T00:00Z,299,296,313,311
2023-12-02T00:30Z,299,300,300,310
2023-12-02T01:00Z,298,298,264,275
2023-12-02T01:30Z,298,298,301,307
2023-12-02T02:00Z,298,295,332,318
2023-12-02T02:30Z,299,302,307,313
2023-12-02T03:00Z,300,296,278,275
2023-12-02T03:30Z,304,298,287,279
2023-12-02T04:00Z,300,299,307,313
2023-12-02T04:30Z,306,306,302,308
2023-12-02T05:00Z,306,302,323,314
2023-12-02T05:30Z,309,310,299,289
2023-12-02T06:00Z,307,309,289,276
2023-12-02T06:30Z,302,312,260,270
2023-12-02T07:00Z,299,308,282,288
2023-12-02T07:30Z,292,305,305,292
2023-12-02T08:00Z,294,278,277,286
2023-12-02T08:30Z,282,294,272,278
2023-12-02T09:00Z,277,298,294,281
2023-12-02T09:30Z,273,286,310,297
2023-12-02T10:00Z,272,283,296,303
2023-12-02T10:30Z,271,278,299,294
2023-12-02T11:00Z,271,277,271,272
2023-12-02T11:30Z,271,277,293,291
2023-12-02T12:00Z,270,273,268,276
2023-12-02T12:30Z,266,276,302,306
2023-12-02T13:00Z,267,278,298,289
2023-12-02T13:30Z,268,274,289,293
2023-12-02T14:00Z,272,276,276,288
2023-12-02T14:30Z,272,277,294,293
2023-12-02T15:00Z,276,275,277,275
2023-12-02T15:30Z,272,282,325,324
2023-12-02T16:00Z,271,284,329,324
2023-12-02T16:30Z,266,280,330,329
2023-12-02T17:00Z,266,277,317,304
2023-12-02T17:30Z,266,272,278,280
2023-12-02T18:00Z,265,271,299,293
2023-12-02T18:30Z,268,274,276,278
2023-12-02T19:00Z,270,277,281,288
2023-12-02T19:30Z,273,279,305,300
2023-12-02T20:00Z,271,281,282,274
2023-12-02T20:30Z,279,278,304,296
2023-12-02T21:00Z,272,273,292,295
2023-12-02T21:30Z,260,274,298,299
2023-12-02T22:00Z,254,274,278,275
2023-12-02T22:30Z,227,256,277,285
2023-12-02T23:00Z,220,256,289,285
2023-12-02T23:30Z,219,249,314,308
