time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-02-25T00:00Z,96,133,510,531
2023-02-25T00:30Z,104,111,535,521
2023-02-25T01:00Z,102,113,495,480
2023-02-25T01:30Z,100,107,504,511
2023-02-25T02:00Z,96,107,472,458
2023-02-25T02:30Z,93,107,441,463
2023-02-25T03:00Z,88,109,472,462
2023-02-25T03:30Z,90,97,483,481
2023-02-25T04:00Z,92,93,490,468
2023-02-25T04:30Z,91,91,498,519
2023-02-25T05:00Z,92,99,517,501
2023-02-25T05:30Z,96,94,504,492
2023-02-25T06:00Z,97,98,454,464
2023-02-25T06:30Z,105,93,512,488
2023-02-25T07:00Z,116,99,466,469
2023-02-25T07:30Z,119,112,506,514
2023-02-25T08:00Z,113,116,535,519
2023-02-25T08:30Z,116,115,511,515
2023-02-25T09:00Z,114,114,577,550
2023-02-25T09:30Z,117,123,518,505
2023-02-25T10:00Z,116,118,485,499
2023-02-25T10:30Z,110,116,478,464
2023-02-25T11:00Z,104,121,485,481
2023-02-25T11:30Z,104,110,487,495
2023-02-25T12:00Z,102,112,464,455
2023-02-25T12:30Z,103,104,492,486
2023-02-25T13:00Z,106,106,435,451
2023-02-25T13:30Z,107,105,447,464
2023-02-25T14:00Z,107,108,516,532
2023-02-25T14:30Z,110,112,529,546
2023-02-25T15:00Z,119,111,478,501
2023-02-25T15:30Z,130,116,491,499
2023-02-25T16:00Z,135,125,506,518
2023-02-25T16:30Z,144,147,493,492
2023-02-25T17:00Z,152,155,524,534
2023-02-25T17:30Z,155,161,509,499
2023-02-25T18:00Z,158,156,448,458
2023-02-25T18:30Z,158,153,442,453
2023-02-25T19:00Z,157,151,544,526
2023-02-25T19:30Z,158,151,502,479
2023-02-25T20:00Z,161,158,485,477
2023-02-25T20:30Z,164,149,483,504
2023-02-25T21:00Z,163,158,488,467
2023-02-25T21:30Z,156,164,510,496
2023-02-25T22:00Z,152,155,545,524
2023-02-25T22:30Z,147,151,552,527
2023-02-25T23:00Z,130,149,523,505
2023-02-25T23:30Z,125,149,443,461
