time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-11-04T00:00Z,129,108,548,541
2023-11-04T00:30Z,122,103,491,517
2023-11-04T01:00Z,127,108,489,501
2023-11-04T01:30Z,135,101,548,535
2023-11-04T02:00Z,149,110,516,534
2023-11-04T02:30Z,158,117,552,538
2023-11-04T03:00Z,156,121,467,468
2023-11-04T03:30Z,156,137,472,460
2023-11-04T04:00Z,151,141,443,463
2023-11-04T04:30Z,153,141,481,476
2023-11-04T05:00Z,149,140,538,531
2023-11-04T05:30Z,164,138,520,526
2023-11-04T06:00Z,166,138,489,468
2023-11-04T06:30Z,167,149,511,518
2023-11-04T07:00Z,157,152,461,484
2023-11-04T07:30Z,172,159,445,459
2023-11-04T08:00Z,179,146,479,486
2023-11-04T08:30Z,180,153,498,524
2023-11-04T09:00Z,176,160,472,481
2023-11-04T09:30Z,174,166,546,529
2023-11-04T10:00Z,175,161,468,483
2023-11-04T10:30Z,182,159,484,476
2023-11-04T11:00Z,175,155,485,479
2023-11-04T11:30Z,169,158,521,535
2023-11-04T12:00Z,159,165,506,497
2023-11-04T12:30Z,159,163,528,537
2023-11-04T13:00Z,160,143,489,508
2023-11-04T13:30Z,149,144,537,544
2023-11-04T14:00Z,143,169,461,457
2023-11-04T14:30Z,147,166,521,539
2023-11-04T15:00Z,159,154,516,500
2023-11-04T15:30Z,166,161,526,537
2023-11-04T16:00Z,177,169,477,488
2023-11-04T16:30Z,181,178,490,480
2023-11-04T17:00Z,175,178,459,455
2023-11-04T17:30Z,179,187,526,535
2023-11-04T18:00Z,194,176,482,464
2023-11-04T18:30Z,194,176,493,470
2023-11-04T19:00Z,192,191,483,491
2023-11-04T19:30Z,187,201,527,507
2023-11-04T20:00Z,190,197,533,541
2023-11-04T20:30Z,186,196,480,496
2023-11-04T21:00Z,183,200,503,482
2023-11-04T21:30Z,186,197,543,522
2023-11-04T22:00Z,180,197,522,528
2023-11-04T22:30Z,169,177,485,499
2023-11-04T23:00Z,169,181,524,513
2023-11-04T23:30Z,168,174,450,468
