time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-03-25T00:00Z,57,73,561,537
2023-03-25T00:30Z,57,73,460,475
2023-03-25T01:00Z,57,71,530,521
2023-03-25T01:30Z,56,71,513,533
2023-03-25T02:00Z,59,71,533,526
2023-03-25T02:30Z,59,67,500,518
2023-03-25T03:00Z,58,68,520,499
2023-03-25T03:30Z,57,66,496,508
2023-03-25T04:00Z,58,67,484,477
2023-03-25T04:30Z,58,70,478,491
2023-03-25T05:00Z,58,70,488,495
2023-03-25T05:30Z,58,71,533,513
2023-03-25T06:00Z,56,70,520,538
2023-03-25T06:30Z,56,68,454,459
2023-03-25T07:00Z,56,67,492,502
2023-03-25T07:30Z,56,65,487,478
2023-03-25T08:00Z,53,58,529,544
2023-03-25T08:30Z,53,57,494,487
2023-03-25T09:00Z,50,54,556,545
2023-03-25T09:30Z,47,53,458,483
2023-03-25T10:00Z,52,51,448,450
2023-03-25T10:30Z,51,44,507,527
2023-03-25T11:00Z,50,44,508,523
2023-03-25T11:30Z,51,46,532,523
2023-03-25T12:00Z,56,35,471,496
2023-03-25T12:30Z,55,50,526,516
2023-03-25T13:00Z,53,56,501,486
2023-03-25T13:30Z,58,52,478,456
2023-03-25T14:00Z,63,56,499,503
2023-03-25T14:30Z,70,55,454,472
2023-03-25T15:00Z,89,70,471,493
2023-03-25T15:30Z,106,79,465,471
2023-03-25T16:00Z,121,106,488,477
2023-03-25T16:30Z,150,127,511,533
2023-03-25T17:00Z,165,134,474,484
2023-03-25T17:30Z,178,161,527,508
2023-03-25T18:00Z,186,177,488,507
2023-03-25T18:30Z,189,187,512,499
2023-03-25T19:00Z,188,189,496,484
2023-03-25T19:30Z,187,185,498,518
2023-03-25T20:00Z,185,199,477,455
2023-03-25T20:30Z,189,180,443,460
2023-03-25T21:00Z,190,186,529,528
2023-03-25T21:30Z,190,191,471,496
2023-03-25T22:00Z,177,187,468,462
2023-03-25T22:30Z,171,184,532,536
2023-03-25T23:00Z,164,176,504,494
2023-03-25T23:30Z,160,172,455,450
