time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-10-07T00:00Z,61,59,542,535
2023-10-07T00:30Z,66,59,533,538
2023-10-07T01:00Z,67,61,447,453
2023-10-07T01:30Z,62,61,461,469
2023-10-07T02:00Z,63,62,519,533
2023-10-07T02:30Z,60,62,532,534
2023-10-07T03:00Z,58,64,483,475
2023-10-07T03:30Z,63,61,512,496
2023-10-07T04:00Z,68,61,536,542
2023-10-07T04:30Z,64,65,499,520
2023-10-07T05:00Z,66,68,477,477
2023-10-07T05:30Z,69,65,540,532
2023-10-07T06:00Z,74,66,518,501
2023-10-07T06:30Z,78,64,507,514
2023-10-07T07:00Z,74,66,468,462
2023-10-07T07:30Z,65,73,457,453
2023-10-07T08:00Z,66,68,477,487
2023-10-07T08:30Z,64,62,489,509
2023-10-07T09:00Z,60,64,447,468
2023-10-07T09:30Z,58,57,563,537
2023-10-07T10:00Z,57,60,516,509
2023-10-07T10:30Z,64,61,502,485
2023-10-07T11:00Z,64,55,454,466
2023-10-07T11:30Z,57,61,550,539
2023-10-07T12:00Z,57,67,545,525
2023-10-07T12:30Z,62,61,508,519
2023-10-07T13:00Z,63,57,462,479
2023-10-07T13:30Z,66,60,501,489
2023-10-07T14:00Z,80,60,484,466
2023-10-07T14:30Z,94,71,522,507
2023-10-07T15:00Z,107,96,562,546
2023-10-07T15:30Z,128,108,541,536
2023-10-07T16:00Z,138,120,523,515
2023-10-07T16:30Z,135,142,527,518
2023-10-07T17:00Z,143,155,487,477
2023-10-07T17:30Z,153,137,498,491
2023-10-07T18:00Z,156,137,474,452
2023-10-07T18:30Z,158,150,515,528
2023-10-07T19:00Z,157,155,522,527
2023-10-07T19:30Z,150,152,445,451
2023-10-07T20:00Z,146,158,515,541
2023-10-07T20:30Z,148,140,525,515
2023-10-07T21:00Z,146,137,513,510
2023-10-07T21:30Z,118,143,437,451
2023-10-07T22:00Z,104,130,485,475
2023-10-07T22:30Z,91,122,516,531
2023-10-07T23:00Z,92,117,482,481
2023-10-07T23:30Z,87,90,562,547
