time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-05-20T00:00Z,129,133,515,531
2023-05-20T00:30Z,134,145,480,477
2023-05-20T01:00Z,129,146,447,456
2023-05-20T01:30Z,126,139,527,521
2023-05-20T02:00Z,122,138,506,508
2023-05-20T02:30Z,122,136,462,458
2023-05-20T03:00Z,120,141,495,496
2023-05-20T03:30Z,115,150,499,486
2023-05-20T04:00Z,115,149,484,500
2023-05-20T04:30Z,118,124,527,507
2023-05-20T05:00Z,121,129,499,487
2023-05-20T05:30Z,125,130,463,476
2023-05-20T06:00Z,116,129,437,460
2023-05-20T06:30Z,100,131,502,507
2023-05-20T07:00Z,89,130,508,522
2023-05-20T07:30Z,87,105,465,473
2023-05-20T08:00Z,78,101,518,501
2023-05-20T08:30Z,71,112,471,454
2023-05-20T09:00Z,66,105,560,536
2023-05-20T09:30Z,61,72,450,474
2023-05-20T10:00Z,58,71,504,497
2023-05-20T10:30Z,58,64,505,488
2023-05-20T11:00Z,56,64,475,465
2023-05-20T11:30Z,56,60,521,543
2023-05-20T12:00Z,55,62,537,536
2023-05-20T12:30Z,54,56,491,505
2023-05-20T13:00Z,54,59,540,541
2023-05-20T13:30Z,57,58,500,524
2023-05-20T14:00Z,58,61,516,492
2023-05-20T14:30Z,62,61,492,482
2023-05-20T15:00Z,75,64,471,492
2023-05-20T15:30Z,91,67,543,522
2023-05-20T16:00Z,105,73,495,477
2023-05-20T16:30Z,115,101,458,458
2023-05-20T17:00Z,122,109,496,487
2023-05-20T17:30Z,127,123,493,500
2023-05-20T18:00Z,134,127,565,540
2023-05-20T18:30Z,137,136,448,468
2023-05-20T19:00Z,141,143,508,530
2023-05-20T19:30Z,145,155,527,548
2023-05-20T20:00Z,147,158,562,545
2023-05-20T20:30Z,146,148,437,457
2023-05-20T21:00Z,138,150,500,497
2023-05-20T21:30Z,126,147,474,478
2023-05-20T22:00Z,120,138,558,534
2023-05-20T22:30Z,119,124,470,483
2023-05-20T23:00Z,115,126,492,505
2023-05-20T23:30Z,117,120,442,451
