time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-06-17T00:00Z,250,250,537,530
2023-06-17T00:30Z,253,248,524,520
2023-06-17T01:00Z,248,243,511,524
2023-06-17T01:30Z,244,243,497,482
2023-06-17T02:00Z,242,245,454,477
2023-06-17T02:30Z,249,237,437,457
2023-06-17T03:00Z,251,243,488,470
2023-06-17T03:30Z,249,245,525,528
2023-06-17T04:00Z,247,246,489,508
2023-06-17T04:30Z,234,243,484,466
2023-06-17T05:00Z,231,252,481,466
2023-06-17T05:30Z,222,240,488,497
2023-06-17T06:00Z,218,236,468,491
2023-06-17T06:30Z,209,229,502,504
2023-06-17T07:00Z,204,220,527,546
2023-06-17T07:30Z,193,213,474,471
2023-06-17T08:00Z,186,207,496,481
2023-06-17T08:30Z,178,193,471,477
2023-06-17T09:00Z,173,187,440,462
2023-06-17T09:30Z,165,177,474,466
2023-06-17T10:00Z,159,173,502,519
2023-06-17T10:30Z,156,164,517,533
2023-06-17T11:00Z,153,160,503,520
2023-06-17T11:30Z,148,149,444,454
2023-06-17T12:00Z,143,151,554,534
2023-06-17T12:30Z,138,140,460,483
2023-06-17T13:00Z,134,138,464,459
2023-06-17T13:30Z,138,133,462,475
2023-06-17T14:00Z,143,135,476,486
2023-06-17T14:30Z,164,141,496,501
2023-06-17T15:00Z,169,146,520,518
2023-06-17T15:30Z,184,184,455,476
2023-06-17T16:00Z,193,180,536,549
2023-06-17T16:30Z,197,194,436,453
2023-06-17T17:00Z,206,198,475,490
2023-06-17T17:30Z,216,204,514,495
2023-06-17T18:00Z,224,207,526,525
2023-06-17T18:30Z,226,211,481,475
2023-06-17T19:00Z,230,216,510,496
2023-06-17T19:30Z,234,217,545,530
2023-06-17T20:00Z,233,219,486,464
2023-06-17T20:30Z,230,218,463,451
2023-06-17T21:00Z,225,218,525,533
2023-06-17T21:30Z,234,208,550,548
2023-06-17T22:00Z,224,197,462,463
2023-06-17T22:30Z,217,180,553,532
2023-06-17T23:00Z,213,177,487,487
2023-06-17T23:30Z,207,178,507,513
