time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-07-15T00:00Z,73,70,478,468
2023-07-15T00:30Z,74,71,502,482
2023-07-15T01:00Z,74,72,488,472
2023-07-15T01:30Z,74,72,530,540
2023-07-15T02:00Z,74,74,502,528
2023-07-15T02:30Z,76,74,459,456
2023-07-15T03:00Z,77,73,571,549
2023-07-15T03:30Z,76,75,516,503
2023-07-15T04:00Z,72,73,545,527
2023-07-15T04:30Z,65,74,569,550
2023-07-15T05:00Z,63,71,572,547
2023-07-15T05:30Z,62,67,454,460
2023-07-15T06:00Z,59,60,538,516
2023-07-15T06:30Z,58,60,472,477
2023-07-15T07:00Z,56,58,510,532
2023-07-15T07:30Z,59,59,531,542
2023-07-15T08:00Z,56,49,439,456
2023-07-15T08:30Z,50,53,531,550
2023-07-15T09:00Z,47,58,493,472
2023-07-15T09:30Z,54,49,550,535
2023-07-15T10:00Z,58,45,554,530
2023-07-15T10:30Z,54,50,492,485
2023-07-15T11:00Z,50,49,516,534
2023-07-15T11:30Z,53,54,560,535
2023-07-15T12:00Z,50,49,477,468
2023-07-15T12:30Z,48,50,530,509
2023-07-15T13:00Z,49,49,546,531
2023-07-15T13:30Z,44,48,505,520
2023-07-15T14:00Z,44,47,545,541
2023-07-15T14:30Z,39,41,438,453
2023-07-15T15:00Z,43,39,509,520
2023-07-15T15:30Z,43,40,555,545
2023-07-15T16:00Z,57,43,487,506
2023-07-15T16:30Z,61,46,517,506
2023-07-15T17:00Z,62,55,490,469
2023-07-15T17:30Z,62,59,573,549
2023-07-15T18:00Z,62,61,532,538
2023-07-15T18:30Z,64,60,523,499
2023-07-15T19:00Z,63,60,503,481
2023-07-15T19:30Z,68,60,475,499
2023-07-15T20:00Z,65,60,463,459
2023-07-15T20:30Z,64,60,492,473
2023-07-15T21:00Z,67,62,494,472
2023-07-15T21:30Z,68,62,488,503
2023-07-15T22:00Z,73,59,452,450
2023-07-15T22:30Z,88,63,565,542
2023-07-15T23:00Z,90,70,453,470
2023-07-15T23:30Z,94,78,474,463
