time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-09-09T00:00Z,230,248,535,532
2023-09-09T00:30Z,219,233,472,492
2023-09-09T01:00Z,217,222,493,504
2023-09-09T01:30Z,214,222,538,537
2023-09-09T02:00Z,211,212,489,497
2023-09-09T02:30Z,208,213,533,538
2023-09-09T03:00Z,208,214,492,498
2023-09-09T03:30Z,215,211,457,458
2023-09-09T04:00Z,215,209,545,540
2023-09-09T04:30Z,216,218,496,521
2023-09-09T05:00Z,213,216,488,500
2023-09-09T05:30Z,208,218,520,540
2023-09-09T06:00Z,203,211,535,530
2023-09-09T06:30Z,198,211,528,518
2023-09-09T07:00Z,191,210,488,512
2023-09-09T07:30Z,184,199,479,462
2023-09-09T08:00Z,177,191,517,526
2023-09-09T08:30Z,168,182,454,467
2023-09-09T09:00Z,158,169,561,548
2023-09-09T09:30Z,147,165,570,547
2023-09-09T10:00Z,138,156,552,531
2023-09-09T10:30Z,130,149,440,463
2023-09-09T11:00Z,126,139,507,492
2023-09-09T11:30Z,125,130,538,549
2023-09-09T12:00Z,125,128,483,494
2023-09-09T12:30Z,126,130,549,550
2023-09-09T13:00Z,132,129,523,513
2023-09-09T13:30Z,140,131,511,533
2023-09-09T14:00Z,148,137,493,476
2023-09-09T14:30Z,162,144,521,541
2023-09-09T15:00Z,181,162,566,541
2023-09-09T15:30Z,204,179,454,457
2023-09-09T16:00Z,219,195,504,489
2023-09-09T16:30Z,235,222,478,490
2023-09-09T17:00Z,246,230,478,483
2023-09-09T17:30Z,251,238,484,478
2023-09-09T18:00Z,254,253,480,496
2023-09-09T18:30Z,261,260,521,537
2023-09-09T19:00Z,263,263,546,529
2023-09-09T19:30Z,270,263,524,512
2023-09-09T20:00Z,271,262,515,502
2023-09-09T20:30Z,275,268,510,492
2023-09-09T21:00Z,267,271,506,491
2023-09-09T21:30Z,247,269,465,465
2023-09-09T22:00Z,236,262,491,509
2023-09-09T22:30Z,227,241,516,526
2023-09-09T23:00Z,227,239,544,544
2023-09-09T23:30Z,219,230,522,542
